Make,Model,Hours,Year,HP,Weight in kg,Price ex VAT,ID,Front Loader,4WD
John Deere,6250R,2137,2019,250,9300,128750,100,no,
John Deere,6125R,3330,2014,125,5910,46000,101,no,
John Deere,6110MC,679,2016,116,4700,41995,102,yes,
John Deere,5090R,5216,2011,90,3700,23750,103,no,
John Deere,6155R Ultimate,2825,2018,155,7100,82000,104,no,
John Deere,6610,8249,2001,114,4717,21500,105,no,
John Deere,6140R,10911,2013,140,6161,33950,106,no,
John Deere,7250R,6867,2014,250,10675,55000,107,no,
John Deere,6430 Premium,12832,2012,115,4536,28500,108,yes,
John Deere,6830 Premium,9421,2011,140,5579,31899,109,no,
John Deere,9570RX,5715,2016,570,24494,158000,110,no,
John Deere,6155R,3821,2018,155,7100,79000,111,no,
John Deere,6230,5242,2010,95,4390,34995,112,yes,
John Deere,7930,5750,2008,220,8043,45000,113,no,
John Deere,6155R,4234,2017,155,7100,65995,114,no,
John Deere,5125R,755,2019,125,4300,53000,115,no,
John Deere,6830 Premium,10973,2010,140,5579,26950,116,no,
John Deere,6830 Premium,6665,2007,140,5579,39870,117,no,
John Deere,6155R,4239,2018,155,7100,59762,118,no,
John Deere,6215R,5724,2016,215,8500,77252,119,no,
John Deere,7530 Premium,6287,2011,180,6620,46000,120,no,
John Deere,6170R,13373,2013,170,7800,35000,121,no,
John Deere,6330,6557,2010,95,4535,34886,122,yes,
John Deere,8360R,5215,2013,360,13300,83750,123,no,
John Deere,6155M,783,2019,155,5929,72950,124,no,
John Deere,6150R,4398,2014,150,6195,53500,125,no,
John Deere,6155R,1851,2017,155,7100,74950,126,no,
John Deere,5090R,5216,2011,90,3700,23750,127,no,
John Deere,6610,8249,2001,114,4717,21500,128,no,
John Deere,6140R,10911,2013,140,6161,33950,129,no,
John Deere,6145R,1155,2020,145,6900,89950,130,no,
John Deere,6135M,2400,2016,135,6200,38950,131,no,
John Deere,6920S,9572,2004,160,5880,26000,132,no,
John Deere,5125R,523,2019,125,4300,58500,133,no,
John Deere,6100,6571,1997,75,3700,15733,134,no,no
John Deere,7930,4424,2008,220,8043,53950,135,no,
John Deere,6200,9427,1995,84,3820,12889,136,no,
John Deere,7530 Premium,6019,2009,180,6620,39526,137,no,
John Deere,6190R,7276,2012,190,7800,43000,138,no,
John Deere,6320,3933,2005,100,4300,27500,139,yes,
John Deere,7530 Premium,6372,2011,180,6620,49941,140,no,
John Deere,7230R,4103,2012,230,10425,59950,141,no,
John Deere,7290R,2100,2015,290,10816,102950,142,no,
John Deere,8345R,3692,2015,345,14828,99950,143,no,
John Deere,5620,4623,2006,72,3600,22000,144,no,
John Deere,7530 Premium,10126,2010,180,6620,38000,145,no,
John Deere,6210R,8620,2014,210,7800,52500,146,no,
John Deere,6170R,6725,2013,170,7800,56500,147,no,
John Deere,6820,4564,2004,140,5700,38000,148,yes,
John Deere,6155R,2344,2017,155,7100,68500,149,no,
John Deere,6150R,5951,2015,150,6195,49500,150,no,
John Deere,6130R,2454,2018,130,6200,77500,151,yes,
John Deere,6930 Premium,6420,2010,150,5878,41950,152,no,
John Deere,6215R,7078,2015,215,8500,68500,153,no,
John Deere,6140R,7771,2014,140,6161,42500,154,no,
John Deere,6320,5580,2006,100,4300,26750,155,yes,
John Deere,6130R,2153,2018,130,6200,79950,156,yes,
John Deere,6155R,1237,2020,155,7100,92750,157,no,
John Deere,6215R,824,2018,215,8500,117500,158,no,
John Deere,6145R,4556,2017,145,6900,59750,159,no,
John Deere,6630 Premium,4288,2012,130,5230,39750,160,no,
John Deere,6150R,2090,2015,150,6195,59950,161,no,
John Deere,6910S,9900,2001,150,5171,35000,162,no,
John Deere,6195R,5629,2016,195,8500,80000,163,no,
John Deere,6150R,9555,2015,150,6195,39950,164,no,
John Deere,6170R,8117,2012,170,7800,46000,165,no,
John Deere,6150M,11556,2013,150,5929,35000,166,no,
John Deere,6195R,2391,2018,195,8500,90000,167,no,
John Deere,6195R,1786,2020,195,8500,107950,168,no,
John Deere,6130R,500,2020,130,6200,88750,169,no,
John Deere,6130R,576,2019,130,6200,71500,170,no,
John Deere,6120M,2303,2019,120,5210,52250,171,no,
John Deere,6155R,86,2020,155,7100,102000,172,no,
John Deere,7290R,1710,2019,290,10816,124750,173,no,
John Deere,7310R,754,2020,310,11326,124750,174,no,
John Deere,6155M,688,2019,155,5929,72750,175,no,
John Deere,5125R,14,2019,125,4300,64500,176,no,
John Deere,6210R,8148,2014,210,7800,57000,177,no,
John Deere,5100R,7,2019,100,4300,47950,178,no,
John Deere,5100R,614,2019,100,4300,59000,179,no,
